year,quarter,rainfall,min_temperature,max_temperature,relative_humidity
2000,1,564.6666667,29.1,24.06666667,88.66666667
2000,2,180.3,32.2,25.46666667,85.33333333
2000,3,205.2,31.13333333,25,86.33333333
2000,4,615.8333333,30.46666667,24.8,88
2001,1,361.1,29.83333333,24.5,85.66666667
2001,2,161.1666667,32.5,25.53333333,81.66666667
2001,3,247.8333333,31.6,25.36666667,85.66666667
2001,4,479.0333333,29.96666667,24.6,86.66666667
2002,1,197.9,29.13333333,23.7,82.33333333
2002,2,110,32.36666667,25.23333333,82.66666667
2002,3,304.3666667,31.43333333,24.8,86.33333333
2002,4,387.5666667,30.73333333,24.4,86.33333333
2003,1,145.2666667,29.73333333,23.4,82.66666667
2003,2,194.2333333,32.26666667,25.2,83
2003,3,206.2,31.93333333,24.33333333,85.66666667
2003,4,244,30.56666667,21.7,84.33333333
2004,1,224.8333333,30.03333333,19.8,85
2004,2,271.5,32.23333333,22.76666667,83.66666667
2004,3,205.9666667,31.93333333,23.23333333,84
2004,4,310.9,30.2,23.9,85.66666667
2005,1,129.8,30,23.4,83.66666667
2005,2,124.2,32.53333333,25.23333333,84
2005,3,402.0333333,30.96666667,24.7,85.33333333
2005,4,625.2333333,29.46666667,24.56666667,87.66666667
2006,1,382.9,29.46666667,24.43333333,83.66666667
2006,2,207.8333333,31.6,25.73333333,82.33333333
2006,3,272.9,30.8,25.6,84.33333333
2006,4,469.0333333,30.4,25,84.66666667
2007,1,198.5,29.6,24.5,80.66666667
2007,2,154.6,31.96666667,26.06666667,81.66666667
2007,3,306.6666667,31.3,25.53333333,84
2007,4,542.9666667,29.76666667,25.03333333,85.66666667
2008,1,564.2666667,28.9,24.13333333,86
2008,2,361.7666667,31.1,25.13333333,84
2008,3,268.6,31.26666667,25.13333333,84.33333333
2008,4,399.8333333,30.26666667,24.96666667,86.66666667
2009,1,325.3666667,29.43333333,24.43333333,85
2009,2,444.0333333,31.16666667,25.6,85.33333333
2009,3,226.3666667,31.16666667,25.7,85.33333333
2009,4,308.7333333,30.16666667,24.76666667,83.66666667
2010,1,108.7333333,30,24.2,81.66666667
2010,2,91.96666667,33.1,26.43333333,78.66666667
2010,3,218.7333333,32.2,25.13333333,83.66666667
2010,4,595.6,30.53333333,23.56666667,87.33333333
2011,1,426.1,29.03333333,22.56666667,85.33333333
2011,2,343.0666667,31.16666667,23.26666667,85
2011,3,451.3,31.26666667,22.96666667,86.66666667
2011,4,512.8,30.43333333,21.8,87.33333333
2012,1,594.3333333,29.6,21.1,86
2012,2,169.6333333,32,23.76666667,82
2012,3,257.3,31.2,24.33333333,85.33333333
2012,4,488.4,30.46666667,23.66666667,85
2013,1,307.0333333,29.8,23.53333333,84
2013,2,150.1666667,33.1,24.73333333,81.66666667
2013,3,300.8,31.8,24.36666667,85.33333333
2013,4,427.2666667,30.46666667,24.03333333,86
2014,1,161.4666667,29.16666667,22.8,81.66666667
2014,2,105.0666667,32.76666667,25.83333333,78.66666667
2014,3,349.7333333,31.46666667,25.36666667,82.33333333
2014,4,459.4666667,30,24.8,86.66666667
2015,1,228.1,29.06666667,23.6,85.66666667
2015,2,157.1,32.06666667,25.6,82.33333333
2015,3,203.9666667,31.86666667,25.43333333,83.66666667
2015,4,412.8333333,30.73333333,25.13333333,85.33333333
2016,1,198.9,29.8,24.36666667,85.33333333
2016,2,120.9666667,32.9,26.36666667,80.66666667
2016,3,180.5666667,32.3,26.03333333,83
2016,4,548,30.5,25.23333333,86
2017,1,328.9333333,29.4,24.6,82.66666667
2017,2,131.3333333,32.7,26.03333333,80.33333333
2017,3,231.9,32.06666667,25.63333333,84
2017,4,589.4666667,30.63333333,25.26666667,85.33333333
2018,1,444.5,29.96666667,24.33333333,83.33333333
2018,2,159.2,32.36666667,25.9,80.33333333
2018,3,272.1666667,31.56666667,25.63333333,83
2018,4,468.7,31.03333333,24.96666667,83.66666667
2019,1,64.73333333,30.23333333,23.8,79
2019,2,180.9,33.03333333,26.1,80
2019,3,226.8333333,31.73333333,25.76666667,82.66666667
2019,4,295.5,31.76666667,25.2,82
2020,1,287.3333333,30.53333333,24.7,80.33333333
2020,2,176.4666667,32.93333333,26.33333333,80.33333333
2020,3,193.5666667,32.63333333,25.76666667,82.33333333
2020,4,699.3333333,31.03333333,25.3,85.66666667
2021,1,418.3333333,30,24.7,83.66666667
2021,2,215,32.23333333,25.76666667,82
2021,3,255.1666667,32.2,25.66666667,84
2021,4,390.7666667,30.76666667,25.26666667,85.66666667
2022,1,273.2666667,30.2,24.83333333,83.66666667
2022,2,354,32.03333333,25.73333333,83
2022,3,299,31.96666667,25.43333333,85.33333333
2022,4,452.7333333,30.86666667,25.06666667,86
2023,1,501.5333333,29.3,24,85
2023,2,184.9,32.53333333,25.73333333,80.33333333
2023,3,205.3666667,32.23333333,25.9,80.66666667
2023,4,435.7666667,31.46666667,25.3,83.66666667
