year,quarter,month,type,par_beg,par_end,msw
2000,4,10,TY,10/25/2000,10/31/2000,130
2000,4,12,TD,12/5/2000,12/7/2000,55
2002,3,7,TD,7/18/2002,7/23/2002,55
2004,4,11,TD,11/27/2004,11/29/2004,55
2006,1,1,TD,1/21/2006,1/24/2006,55
2006,2,5,TY,5/9/2006,5/15/2006,160
2006,3,9,TY,9/25/2006,9/29/2006,130
2006,4,11,STY,11/28/2006,12/2/2006,195
2007,4,11,TY,11/19/2007,11/27/2007,130
2008,3,9,TS,9/29/2008,10/2/2008,65
2009,2,5,TY,5/1/2009,5/5/2009,140
2013,2,6,TS,6/27/2013,6/30/2013,85
2014,3,7,TY,7/13/2014,7/16/2014,150
2015,1,1,STS,1/15/2015,1/18/2015,100
2015,4,12,TY,12/12/2015,12/16/2015,150
2016,4,12,STY,12/22/2016,12/27/2016,185
2017,4,11,TS,11/8/2017,11/10/2017,75
2019,4,11,TY,11/30/2019,12/5/2019,175
2020,2,5,TY,5/10/2020,5/17/2020,155
2020,4,10,TD,10/13/2020,10/16/2020,45
2020,4,10,TY,10/23/2020,10/27/2020,150
2020,4,10,STY,10/29/2020,11/3/2020,225
2020,4,11,TS,11/7/2020,11/9/2020,65
2021,3,9,TY,9/6/2021,9/9/2021,120
2022,4,10,STS,10/26/2022,10/31/2022,110
2023,2,4,TD,4/11/2023,4/13/2023,55
